name,description,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
aa_api_base,[Last Year] Black or African American API (Base),,,,,,,,,,,X,X,X,X
aa_api_base,[Last Year] African American API (Base),X,X,X,X,X,X,X,X,X,X,,,,
aa_api_growth,[This Year] Black or African American API (Growth),,,,,,,,,,,X,X,X,X
aa_api_growth,[This Year] African American API (Growth),X,X,X,X,X,X,X,X,X,X,,,,
aa_grow,[Last year Range] African American Subgroup API Growth,X,X,X,X,,X,X,X,X,X,,,,
aa_grow,[Last Year]-[Next Year] African American Subgroup API Growth,,,,,X,,,,,,,,,
aa_grow,[Last year Range] Black or African American Subgroup API Growth,,,,,,,,,,,X,X,X,X
aa_met,Met Black or African American Subgroup Growth Target,,,,,,,,,,,X,X,X,X
aa_met,Met African American Subgroup Growth Target,X,X,X,X,X,X,X,X,X,X,,,,
aa_num,Number of Black or African American Included in API,,,,,,,,,,,X,X,X,X
aa_num,Number of African Americans Included in API,X,X,X,X,X,X,X,X,X,X,,,,
aa_sig,African Americans Significant? (Yes/No),X,X,X,X,X,X,X,,,,,,,
aa_sig,Black or African American Significant Both Years? (Yes/No),,,,,,,,,,,X,X,X,X
aa_sig,African Americans Significant Both Years? (Yes/No),,,,,,,,X,X,X,,,,
aa_targ,[Last year Range] African American Subgroup Growth Target,X,X,X,X,,X,X,X,X,X,,,,
aa_targ,[Last year Range] Black or African American Subgroup Growth Target,,,,,,,,,,,X,X,X,X
aa_targ,[Next Year Range] African American Subgroup Growth Target,,,,,X,,,,,,,,,
acs_46,Average Class Size (Grades 4-6),X,X,X,X,X,X,X,X,X,X,X,X,X,X
acs_core,Number of Core Academic Courses,X,X,,,,,,,,,,,,
acs_core,Average Class Size for a Number of Core Academic Courses,,,X,X,X,X,X,X,X,X,X,X,X,X
acs_k3,Average Class Size (Grades K-3),X,X,X,X,X,X,X,X,X,X,X,X,X,X
ai_api_base,[Last Year] American Indian or Alaska Native API (Base),,,,,,,,,,,,X,X,X
ai_api_base,[Last Year] American Indian/Alaska Native API (Base),,,,,,,,,,,X,,,
ai_api_base,[Last Year] American Indians API (Base),X,X,X,X,X,X,X,X,X,X,,,,
ai_api_growth,[This Year] American Indian or Alaska Native API (Growth),,,,,,,,,,,,X,X,X
ai_api_growth,[This Year] American Indian/Alaska Native API (Growth),,,,,,,,,,,X,,,
ai_api_growth,[This Year] American Indians API (Growth),X,X,X,X,X,X,X,X,X,X,,,,
ai_grow,[Last year Range] American Indian or Alaska Native Subgroup API Growth,,,,,,,,,,,,X,X,X
ai_grow,[Last year Range] American Indians Subgroup API Growth,X,X,X,X,X,X,X,X,X,X,,,,
ai_grow,[Last year Range] American Indian/Alaska Native Subgroup API Growth,,,,,,,,,,,X,,,
ai_met,Met American Indian or Alaska Native Subgroup Growth Target,,,,,,,,,,,,X,X,X
ai_met,Met American Indians Subgroup Growth Target,X,X,X,X,X,X,X,X,X,X,,,,
