"name","description"
"id",
"cds","County/District/School code"
"stype","Type: 1=Unified, 2=Elementary District, 3=9-12 High District, 4=7-12 High District, E=Elementary School, M=Middle School, H=High School"
"sname","School Name"
"dname","District Name"
"cname","County Name"
"flag","Flag Values"
"api","[This Year] API (Base)"
"pct_test","Percentage of Students Tested"
"valid_num","Number of Students Included in the [This Year] Academic Performance Index (API)"
"st_rank","Statewide Rank (I=Invalid data, B=District or ASAM, C=Special Education School . )"
"sum_rank","Similar Schools Rank"
"gr_targ","[Next Year Range] API Growth Target (A=means the school or student group scored at or above the statewide performance target of 800 in [This Year], B=This is an LEA, C=means this is a special education school.)"
"api_targ","[Next Year] API Target (A=means the school or student group scored at or above the statewide performance target of 800 in [This Year], B=This is an LEA, C=means this is a special education school.)"
"aa_num","Number of Black or African Americans Included in API"
"aa_sig","Black or African Americans Significant?(Yes/No)"
"aa_api","[This Year] Black or African American API (Base)"
"aa_gt","[Next Year Range] Black or African American student group Growth Target"
"aa_targ","[Next Year] Black or African American student group API Target"
"ai_num","Number of American Indian/Alaska Native Included in API"
"ai_sig","American Indian/Alaska Native Significant?(Yes/No)"
"ai_api","[This Year] American Indian/Alaska Native API (Base)"
"ai_gt","[Next Year Range] American Indian/Alaska Native student group Growth Target"
"ai_targ","[Next Year] American Indian/Alaska Native student group API Target"
"as_num","Number of Asian Included in API"
"as_sig","Asian Significant?(Yes/No)"
"as_api","[This Year] Asian API (Base)"
"as_gt","[Next Year Range] Asian student group Growth Target"
"as_targ","[Next Year] Asian student group API Target"
"fi_num","Number of Filipino Included in API"
"fi_sig","Filipino Significant?(Yes/No)"
"fi_api","[This Year] Filipino API (Base)"
"fi_gt","[Next Year Range] Filipino student group Growth Target"
"fi_targ","[Next Year] Filipino student group API Target"
"hi_num","Number of Hispanic or Latino included in API"
"hi_sig","Hispanic or Latino Significant?(Yes/No)"
"hi_api","[This Year] Hispanic or Latino API (Base)"
"hi_gt","[Next Year Range]Hispanic or Latino student group Growth Target"
"hi_targ","[Next Year] Hispanic or Latino student group API Target"
"pi_num","Number of Native Hawaiian/Pacific Islander Included in API"
"pi_sig","Native Hawaiian/Pacific Islander Significant?(Yes/No)"
"pi_api","[This Year] Native Hawaiian/Pacific Islander API (Base)"
"pi_gt","[Next Year Range] Native Hawaiian/Pacific Islander student group Growth Target"
"pi_targ","[Next Year] student group Native Hawaiian/Pacific Islander API Target"
"wh_num","Number of White included in API"
"wh_sig","White Significant?(Yes/No)"
"wh_api","[This Year] White API (Base)"
"wh_gt","[Next Year Range] White student group Growth Target"
"wh_targ","[Next Year] White API Target"
"sd_num","Number of Socioeconomically Disadvantaged (SD) Students Included in API"
"sd_sig","Socioeconomically Disadvantaged Significant?(Yes/No)"
"sd_api","[This Year] Socioeconomically Disadvantaged API (Base)"
"sd_gt","[Next Year Range] Socioeconomically Disadvantaged student group Growth Target"
"sd_targ","[Next Year] Socioeconomically Disadvantaged API Target"
"pct_aa","Percent Black or African American"
"pct_ai","Percent American Indian"
"pct_as","Percent Asian"
"pct_fi","Percent Filipino"
"pct_hi","Percent Hispanic or Latino"
"pct_pi","Percent Native Hawaiian/Pacific Islander"
"pct_wh","Percent White"
"meals","Percentage of Students Tested that are eligible for Free or Reduced Price Lunch Program"
"ell","Percent English Language Learners"
"yr_rnd","Year Round School"
"mobility","Percentage of Students Who First Attended this School in the Present Year"
"acs_k3","Average Class Size (Grades K-3)"
"acs_46","Average Class Size (Grades 4-6)"
"acs_core","Number of Core Academic Courses"
"pct_resp","Percent of Student Answer Documents with Parent Education Level Information"
"not_hsg","Parent Education Level: Percent Not High School Graduate"
"hsg","Parent Education Level: Percent High School Graduate"
"some_col","Parent Education Level: Percent Some College"
"col_grad","Parent Education Level: Percent College Graduate"
"grad_sch","Parent Education Level: Percent Graduate School"
"avg_ed","Average Parent Education Level"
"full","Percent Teachers at this school with Full Credentials"
"emer","Percent Teachers at this school with Emergency Credentials"
"enroll","Number of Students Enrolled on the First Day of Testing for Grades 2-11"
"iep","Number of Students Excused from Testing by Individualized Education Program Statement"
"parent_opt","Number of Students Excused from Testing by Parental Written Request"
"tested","Number of Students Tested on STAR"
