table,seq,column,is_pk,is_fk,type,size,default,width,description,id
private_schools,1,id,1,,INTEGER,,-1,,,c00a01001
private_schools,2,affidavit_id,,,INTEGER,,-1,2,,c00a01002
private_schools,3,cds_code,,,INTEGER,,-1,14,,c00a01003
private_schools,4,year,,,INTEGER,,-1,2,,c00a01004
private_schools,5,name,,,VARCHAR,79,-,60,,c00a01005
private_schools,6,former_name,,,VARCHAR,51,-,46,,c00a01006
private_schools,7,district,,,VARCHAR,50,-,45,,c00a01007
private_schools,8,type,,,VARCHAR,19,-,13,,c00a01008
private_schools,9,religious_classification,,,VARCHAR,22,-,17,,c00a01009
private_schools,10,religious_denomination,,,VARCHAR,87,-,87,,c00a0100a
private_schools,11,street,,,VARCHAR,64,-,30,,c00a0100b
private_schools,12,city,,,VARCHAR,26,-,22,,c00a0100c
private_schools,13,state,,,VARCHAR,2,-,2,,c00a0100d
private_schools,14,county,,,VARCHAR,15,-,15,,c00a0100e
private_schools,15,zip,,,INTEGER,,-1,9,,c00a0100f
private_schools,16,zipplus4,,,INTEGER,,-1,4,,c00a0100g
private_schools,17,email,,,VARCHAR,100,-,100,,c00a0100h
private_schools,18,email2,,,VARCHAR,49,-,49,,c00a0100i
private_schools,19,phone,,,VARCHAR,16,-,16,,c00a0100j
private_schools,20,enrollment_kindergarten,,,INTEGER,,-1,3,,c00a0100k
private_schools,21,enrollment_grade_1,,,REAL,,-1,3,,c00a0100l
private_schools,22,enrollment_grade_2,,,INTEGER,,-1,3,,c00a0100m
private_schools,23,enrollment_grade_3,,,INTEGER,,-1,3,,c00a0100n
private_schools,24,enrollment_grade_4,,,REAL,,-1,4,,c00a0100o
private_schools,25,enrollment_grade_5,,,INTEGER,,-1,3,,c00a0100p
private_schools,26,enrollment_grade_6,,,INTEGER,,-1,3,,c00a0100q
private_schools,27,enrollment_grade_7,,,REAL,,-1,3,,c00a0100r
private_schools,28,enrollment_grade_8,,,INTEGER,,-1,3,,c00a0100s
private_schools,29,enrollment_grade_9,,,INTEGER,,-1,4,,c00a0100t
private_schools,30,enrollment_grade_10,,,INTEGER,,-1,3,,c00a0100u
private_schools,31,enrollment_grade_11,,,INTEGER,,-1,3,,c00a0100v
private_schools,32,enrollment_grade_12,,,INTEGER,,-1,3,,c00a0100w
private_schools,33,enrollment_ungraded_elementary,,,INTEGER,,-1,3,,c00a0100x
private_schools,34,enrollment_ungraded_secondary,,,INTEGER,,-1,3,,c00a0100y
private_schools,35,total_enrollment,,,REAL,,-1,6,,c00a0100z
private_schools,36,offers_diploma,,,VARCHAR,5,-,3,,c00a0100A
private_schools,37,grades,,,VARCHAR,8,-,8,,c00a0100B
private_schools,38,highest_grade,,,VARCHAR,2,-,2,,c00a0100C
private_schools,39,low_grade,,,VARCHAR,2,-,2,,c00a0100D
private_schools,40,graduates_99,,,REAL,,-1,3,,c00a0100E
private_schools,41,graduates_01,,,INTEGER,,-1,2,,c00a0100F
private_schools,42,graduates_02,,,INTEGER,,-1,2,,c00a0100G
private_schools,43,graduates_03,,,INTEGER,,-1,2,,c00a0100H
private_schools,44,graduates_04,,,INTEGER,,-1,2,,c00a0100I
private_schools,45,graduates_05,,,INTEGER,,-1,2,,c00a0100J
private_schools,46,graduates_06,,,INTEGER,,-1,2,,c00a0100K
private_schools,47,graduates_07,,,INTEGER,,-1,3,,c00a0100L
private_schools,48,graduates_08,,,INTEGER,,-1,2,,c00a0100M
private_schools,49,graduates_09,,,INTEGER,,-1,2,,c00a0100N
private_schools,50,graduates_10,,,INTEGER,,-1,2,,c00a0100O
private_schools,51,graduates_11,,,INTEGER,,-1,3,,c00a0100P
private_schools,52,graduates_12,,,INTEGER,,-1,3,,c00a0100Q
private_schools,53,administrators,,,REAL,,-1,4,,c00a0100R
private_schools,54,teachers_full_time,,,REAL,,-1,3,,c00a0100S
private_schools,55,teachers_part_time,,,REAL,,-1,11,,c00a0100T
private_schools,56,staff,,,INTEGER,,-1,3,,c00a0100U
private_schools,57,programs_special_education,,,VARCHAR,5,-,3,,c00a0100V
private_schools,58,programs_autism,,,VARCHAR,3,-,3,,c00a0100W
private_schools,59,programs_deafness,,,VARCHAR,3,-,3,,c00a0100X
private_schools,60,programs_deaf_blind,,,VARCHAR,3,-,3,,c00a0100Y
private_schools,61,programs_disabilities,,,VARCHAR,3,-,3,,c00a0100Z
private_schools,62,programs_emotional_disturbance,,,VARCHAR,3,-,3,,c00a01010
private_schools,63,programs_hard_of_hearing,,,VARCHAR,3,-,3,,c00a01011
private_schools,64,programs_mental_retardation,,,VARCHAR,3,-,3,,c00a01012
private_schools,65,programs_multihandicapped,,,VARCHAR,3,-,3,,c00a01013
private_schools,66,programs_orthopedic_impairment,,,VARCHAR,3,-,3,,c00a01014
private_schools,67,programs_other_health_impaired,,,VARCHAR,3,-,3,,c00a01015
private_schools,68,programs_seriously_emotionally_disturbed,,,VARCHAR,3,-,3,,c00a01016
private_schools,69,programs_specific_learning_disability,,,VARCHAR,3,-,3,,c00a01017
private_schools,70,programs_speech_or_language,,,VARCHAR,3,-,3,,c00a01018
private_schools,71,programs_traumatic_brain_injury,,,VARCHAR,3,-,3,,c00a01019
private_schools,72,programs_visual_impairment,,,VARCHAR,3,-,3,,c00a0101a
private_schools,73,school_accommodations,,,VARCHAR,25,-,25,,c00a0101b
private_schools,74,tax_exempt,,,VARCHAR,5,-,3,,c00a0101c
